"skin","state","target","source_state","source_direction","source","source_path","mirror","status","reason"
"priest_default","idle","idle_up_right.png","idle","up","idle_up.png","public/assets/art/player/priest_default/idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"priest_default","idle","idle_right.png","idle","left","idle_left.png","public/assets/art/player/priest_default/idle_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"priest_default","idle","idle_down_right.png","idle","down_right","idle_down_right.png","public/assets/art/player/priest_default/idle_down_right.png","True","mirrored","v6 manual-check correction: mirror original idle_down_right for down_right"
"priest_default","idle","idle_down_left.png","idle","down_right","idle_down_right.png","public/assets/art/player/priest_default/idle_down_right.png","False","copied","original idle_down_right is best down_left candidate"
"priest_default","idle","idle_up_left.png","idle","up","idle_up.png","public/assets/art/player/priest_default/idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"warrior_default","walk","walk_up_right.png","walk","up_left","walk_up_left.png","public/assets/art/player/warrior_default/walk_up_left.png","True","mirrored","mirror original walk_up_left for missing true up_right"
"warrior_default","walk","walk_down_right.png","walk","up_right","walk_up_right.png","public/assets/art/player/warrior_default/walk_up_right.png","True","mirrored","mirror original walk_up_right because it is down_left"
"warrior_default","walk","walk_down_left.png","walk","up_right","walk_up_right.png","public/assets/art/player/warrior_default/walk_up_right.png","False","copied","manual-check: original walk_up_right is down_left"
"warrior_default","idle","idle_up_right.png","idle","up_left","idle_up_left.png","public/assets/art/player/warrior_default/idle_up_left.png","True","mirrored","mirror original idle_up_left for missing true up_right"
"warrior_default","idle","idle_down_right.png","idle","up_right","idle_up_right.png","public/assets/art/player/warrior_default/idle_up_right.png","True","mirrored","mirror original idle_up_right because it is down_left"
"warrior_default","idle","idle_down_left.png","idle","up_right","idle_up_right.png","public/assets/art/player/warrior_default/idle_up_right.png","False","copied","manual-check: original idle_up_right is down_left"
"witch_default","walk","walk_up_right.png","walk","up","walk_up.png","public/assets/art/player/witch_default/walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"witch_default","walk","walk_right.png","walk","left","walk_left.png","public/assets/art/player/witch_default/walk_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"witch_default","walk","walk_down_right.png","walk","down_left","walk_down_left.png","public/assets/art/player/witch_default/walk_down_left.png","False","copied","manual-check: original walk_down_left is down_right"
"witch_default","walk","walk_down.png","walk","down_right","walk_down_right.png","public/assets/art/player/witch_default/walk_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_down_right placeholder"
"witch_default","walk","walk_down_left.png","walk","down_left","walk_down_left.png","public/assets/art/player/witch_default/walk_down_left.png","True","mirrored","v6 manual-check correction: mirror original walk_down_left for down_left"
"witch_default","walk","walk_up_left.png","walk","up","walk_up.png","public/assets/art/player/witch_default/walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"witch_default","idle","idle_up_right.png","idle","up","idle_up.png","public/assets/art/player/witch_default/idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"witch_default","idle","idle_right.png","idle","left","idle_left.png","public/assets/art/player/witch_default/idle_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"witch_default","idle","idle_down_right.png","idle","down_left","idle_down_left.png","public/assets/art/player/witch_default/idle_down_left.png","False","copied","manual-check: original idle_down_left is down_right"
"witch_default","idle","idle_down.png","idle","down_right","idle_down_right.png","public/assets/art/player/witch_default/idle_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_down_right placeholder"
"witch_default","idle","idle_down_left.png","idle","down_left","idle_down_left.png","public/assets/art/player/witch_default/idle_down_left.png","True","mirrored","v6 manual-check correction: mirror original idle_down_left for down_left"
"witch_default","idle","idle_up_left.png","idle","up","idle_up.png","public/assets/art/player/witch_default/idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
